Model,Time,Article
glm-4.7-flash:q4_K_M,111.652318,pete-beer-horse
glm-4.7-flash:q4_K_M,137.05249,pete-beer-horse
glm-4.7-flash:q4_K_M,124.677333,pete-beer-horse
glm-4.7-flash:q4_K_M,185.921462,pope-leo-xiv-carries-cross
glm-4.7-flash:q4_K_M,154.601981,pope-leo-xiv-carries-cross
glm-4.7-flash:q4_K_M,130.981317,pope-leo-xiv-carries-cross
glm-4.7-flash:q4_K_M,146.754037,savannah-homeless-camps
glm-4.7-flash:q4_K_M,147.606275,savannah-homeless-camps
glm-4.7-flash:q4_K_M,177.101506,savannah-homeless-camps
glm-4.7-flash:q4_K_M,164.005746,whitehouse-app-privacy-policy
glm-4.7-flash:q4_K_M,139.477706,whitehouse-app-privacy-policy
glm-4.7-flash:q4_K_M,145.156443,whitehouse-app-privacy-policy
glm-4.7-flash:q4_K_M,160.053276,whitehouse-liberated-homeland-security
glm-4.7-flash:q4_K_M,107.398172,whitehouse-liberated-homeland-security
glm-4.7-flash:q4_K_M,144.721022,whitehouse-liberated-homeland-security
glm-4.7-flash:q4_K_M,132.359162,whitehouse-trump-ended-trans-for-everybody
glm-4.7-flash:q4_K_M,122.191531,whitehouse-trump-ended-trans-for-everybody
glm-4.7-flash:q4_K_M,146.615454,whitehouse-trump-ended-trans-for-everybody
gpt-oss:20b,54.032864,christians-trump-war-apocalypse
gpt-oss:20b,54.009004,christians-trump-war-apocalypse
gpt-oss:20b,54.275029,christians-trump-war-apocalypse
gpt-oss:20b,25.198369,empty-apartments
gpt-oss:20b,29.494394,empty-apartments
gpt-oss:20b,30.702479,empty-apartments
gpt-oss:20b,36.972286,fema-teleporting-waffle-house
gpt-oss:20b,33.873743,fema-teleporting-waffle-house
gpt-oss:20b,43.47758,fema-teleporting-waffle-house
gpt-oss:20b,64.457181,france-antisemitisme-proposition
gpt-oss:20b,61.791537,france-antisemitisme-proposition
gpt-oss:20b,85.904198,france-antisemitisme-proposition
gpt-oss:20b,50.21645,gemma-4
gpt-oss:20b,51.214977,gemma-4
gpt-oss:20b,43.551575,gemma-4
gpt-oss:20b,38.649517,maia-gbyte-leaks
gpt-oss:20b,51.001069,maia-gbyte-leaks
gpt-oss:20b,80.117319,maia-gbyte-leaks
gpt-oss:20b,66.194319,manjar-governance
gpt-oss:20b,48.508178,manjar-governance
gpt-oss:20b,51.560312,manjar-governance
